1dz77NgDYNcuEPAi76E-zudgs2h-JZAgW	requirements-compile.txt	411	text/plain	#zNOVUS-AGENTI_OMNI-CLAW_Archives/zCompile project for QWEN 3.5 9B/requirements-compile.txt
1GuceJn7uqQmQctH_ab2AFvxKV9kI16Ps	manifest.yaml	7015	application/octet-stream	#zNOVUS-AGENTI_OMNI-CLAW_Archives/zCompile project for QWEN 3.5 9B/manifest.yaml
1hxIQS6w2sgtjRUWx5bpFCpoXC86MEw46	compile_qwen3_5_9b.py	33178	text/x-python	#zNOVUS-AGENTI_OMNI-CLAW_Archives/zCompile project for QWEN 3.5 9B/compile_qwen3_5_9b.py
1SD28018ffPiz9eLMH_d_JziTnckH-4ur	manifest.yaml	7015	application/octet-stream	#zNOVUS-AGENTI_OMNI-CLAW_Archives/zCompile project for QWEN 3.5 9B/compile/manifest.yaml
1ebwuqe3o4h-EB5I19c1pCew6wz9I0E3M	requirements-compile.txt	411	text/plain	#zNOVUS-AGENTI_OMNI-CLAW_Archives/zCompile project for QWEN 3.5 9B/compile/requirements-compile.txt
16R1eSKJ9ANLYirnG6ITkYESoUIyg5s59	compile_qwen3_5_9b.py	33178	text/x-python	#zNOVUS-AGENTI_OMNI-CLAW_Archives/zCompile project for QWEN 3.5 9B/compile/compile_qwen3_5_9b.py
10YbtqVpD1zySaKnxLUr6-jwT2ixCDgF9hi0HOZD3Brk	build a GitHub Actions CI/CD pipeline for a multi-build variant Android app	4145	application/vnd.google-apps.document	#zNOVUS-AGENTI_OMNI-CLAW_Archives/July 5th 2026/build a GitHub Actions CI-CD pipeline for a multi-build variant Android app
1iZ9EBI0o1otW1WLm9I3zQ4kY3fDdif6N	PackageManager  |  API reference  |  Android Developers	5419868	multipart/related	#zNOVUS-AGENTI_OMNI-CLAW_Archives/July 5th 2026/PackageManager  |  API reference  |  Android Developers
1oP496B6n8S7xECtF7rwIrxCRVkg5E6DW	README. md SOCKET SWEEP	9680	text/markdown	#zNOVUS-AGENTI_OMNI-CLAW_Archives/July 5th 2026/README. md SOCKET SWEEP
1bYaGBvaSX4Sj4Kp8TaXv1Z5hqBCG9G99	overlayd-ai-technical-guide (1) (1).pdf	720687	application/pdf	#zNOVUS-AGENTI_OMNI-CLAW_Archives/July 5th 2026/overlayd-ai-technical-guide (1) (1).pdf
1u4uZ50b0M6N-j5gm7Iz6LHt-EpNtSc07	overlayd-ai-technical-guide (2).pdf	720687	application/pdf	#zNOVUS-AGENTI_OMNI-CLAW_Archives/July 5th 2026/overlayd-ai-technical-guide (2).pdf
1ChJiVBtH40pW_L014MENr3PXsA0uy9Vf	‎Gemini - direct access to Google AI	1486199	multipart/related	#zNOVUS-AGENTI_OMNI-CLAW_Archives/6-21 Omni Claw Defined/Gemini - direct access to Google AI
1J4F7Utj_PV85xr0sosQCnVLIpn3v3osy	‎Gemini - direct access to Google AI	1289570	multipart/related	#zNOVUS-AGENTI_OMNI-CLAW_Archives/6-21 Omni Claw Defined/Gemini - direct access to Google AI (2)
1oV7mfnCk-QYgHH5l--yzvxT7rA_3DVM0	If I download a gemma 4 12b and i compiled it to run onnx would the model still shit out because it was hqrd coded for the GPU? Does onmx even let llm's on the npu? - Google Gemini	2548440	multipart/related	#zNOVUS-AGENTI_OMNI-CLAW_Archives/6-21 Omni Claw Defined/If I download a gemma 4 12b ... - Google Gemini
1rQF6sceE0hod9b9SN3nklDHcd5YLIQPyZpSP7eBBlQs	Untitled document	2947	application/vnd.google-apps.document	#zNOVUS-AGENTI_OMNI-CLAW_Archives/Outdated run times (a)/Untitled document
